"Organisation","Sector","Common Name","Acronym","Postal Address","Web Site","Email"
"Wellington Fish and Game Council","Conservation Sector organisation","","","PO Box 1325
PALMERSTON NORTH
","http://www.fishandgame.org.nz/Site/Regions/Wellington/default.aspx","admin@wellingtonfishgame.org.nz"
"West Coast Fish and Game Council","Conservation Sector organisation","","","PO Box 179
HOKITIKA
","http://www.fishandgame.org.nz/Site/Regions/WestCoast/default.aspx","fish&game@minidata.co.nz"
"Auckland/Waikato Fish and Game Council","Conservation Sector organisation","","","Hilldale Game Park
Brymer Road RD 9
HAMILTON
","http://www.fishandgame.org.nz/Site/Regions/Auckland/default.aspx","awfg@internet.co.nz"
"Central South Island Fish and Game Council","Conservation Sector organisation","","","PO Box 150
TEMUKA
","http://www.fishandgame.org.nz/Site/Regions/CSI/default.aspx","csi@fishandgame.org.nz"
"Nelson Marlborough Fish and Game Council","Conservation Sector organisation","","","PO Box 2173
Stoke
NELSON
","http://www.fishandgame.org.nz/Site/Regions/NelsonMarlborough/default.aspx","admin@nmfgc.co.nz"
"North Canterbury Fish and Game Council","Conservation Sector organisation","","","3 Horatio Street
CHRISTCHURCH 8001
","http://www.fishandgame.org.nz/Site/Regions/NorthCanterbury/default.aspx","northcanterbury@fishandgame.org.nz"
"Northland Fish and Game Council","Conservation Sector organisation","","","PO Box 1099
WHANGAREI
","http://www.fishandgame.org.nz/Site/Regions/Northland/default.aspx","northlandf.g@clear.net.nz"
"Otago Fish and Game Council","Conservation Sector organisation","","","PO Box 76
DUNEDIN
","http://www.fishandgame.org.nz/Site/Regions/Otago/default.aspx","n.watson@fish-game.org.nz"
"Southland Fish and Game Council","Conservation Sector organisation","","","PO Box 159
INVERCARGILL
","http://www.fishandgame.org.nz/Site/Regions/Southland/default.aspx","information@southlandfishgame.co.nz"
"New Zealand Fish and Game Council","Conservation Sector organisation","Fish & Game New Zealand","","PO Box 13141
WELLINGTON
","http://www.fishandgame.org.nz","nzcouncil@fishandgame.org.nz"
"Taranaki Fish and Game Council","Conservation Sector organisation","","","PO Box 4152
WANGANUI
","http://www.fishandgame.org.nz/Site/Regions/TaranakiWgtn/default.aspx","fg-wan@clear.net.nz"
"Reserves Boards","Conservation Sector organisation","","Public Sector","","",""
"Hawke's Bay Fish and Game Council","Conservation Sector organisation","","","PO Box 7345
Taradale
NAPIER
","http://www.fishandgame.org.nz/Site/Regions/HawkesBay/default.aspx","hawkesbay@fishandgame.org.nz"
"New Zealand Lottery Grants Board","Other PFA 4th Schedule organisation","","","PO Box 805
WELLINGTON
","http://www.dia.govt.nz/diawebsite.nsf/wpg_URL/Services-Lottery-Grants-Index?OpenDocument","grantsonline@dia.govt.nz"
"New Zealand Government Property Corporation","Other PFA 4th Schedule organisation","","","","",""
"Reserve Bank of New Zealand","State Sector","","RBNZ","PO Box 2498
WELLINGTON
","http://www.rbnz.govt.nz","rbnz-info@rbnz.govt.nz"
"Air New Zealand","State Sector","","","Private Bag 92007
AUCKLAND
","http://www.airnewzealand.co.nz/","public.affairs@airnewzealand.co.nz"
"Northland Regional Council","Regional Council","","","Private Bag 9021
WHANGAREI 0120
","http://www.nrc.govt.nz","mailroom@nrc.govt.nz"
"Otago Regional Council","Regional Council","","","Private Bag 1954
DUNEDIN 9020
","http://www.orc.govt.nz/","info@orc.govt.nz"
"Taranaki Regional Council","Regional Council","","","Private Bag 713
STRATFORD 4700
","http://www.trc.govt.nz","info@trc.govt.nz"
"Wellington Regional Council","Regional Council","Greater Wellington - The Regional Council","","PO Box 11646
WELLINGTON
","http://www.gw.govt.nz","info@gw.govt.nz"
"West Coast Regional Council","Regional Council","","","PO Box 66
GREYMOUTH 7801
","http://www.wcrc.govt.nz","info@wcrc.govt.nz"
"Auckland Regional Council","Regional Council","","ARC","Private Bag 92012
AUCKLAND
","http://www.arc.govt.nz/","info@arc.govt.nz"
"Bay of Plenty Regional Council","Regional Council","Environment Bay of Plenty","","PO Box 364
WHAKATANE 3080
","http://www.envbop.govt.nz","info@envbop.govt.nz"
"Manawatu-Wanganui Regional Council","Regional Council","Horizons Regional Council","","Private Bag 11025
PALMERSTON NORTH
","http://www.horizons.govt.nz","help@horizons.govt.nz"
"Southland Regional Council","Regional Council","Environment Southland","","Private Bag 90116
INVERCARGILL
","http://www.es.govt.nz","service@es.govt.nz"
"Waikato Regional Council","Regional Council","Environment Waikato","","PO Box 4010
HAMILTON EAST
","http://www.ew.govt.nz","info@ew.govt.nz"
"Canterbury Regional Council","Regional Council","Environment Canterbury","ECAN","PO Box 345
CHRISTCHURCH
","http://www.ecan.govt.nz/","ecinfo@ecan.govt.nz"
"Hutt City Council","City Council","","","Private Bag 31912
LOWER HUTT 6320
","http://www.huttcity.govt.nz/","Contact@huttcity.govt.nz"
"Invercargill City Council","City Council","","","Private Bag 90104
INVERCARGILL 9520
","http://www.icc.govt.nz/","service@icc.govt.nz"
"Auckland City Council","City Council","","","Private Bag 92516
Wellesley Street
AUCKLAND 1036
","http://www.aucklandcity.govt.nz/","enquiry@aucklandcity.govt.nz"
"Manukau City Council","City Council","","","Private Bag 76917
MANUKAU CITY 1730
","http://www.manukau.govt.nz","info@manukau.govt.nz"
"Napier City Council","City Council","","","PO Box 6010
NAPIER 4142
","http://www.napier.govt.nz","info@napier.govt.nz"
"Nelson City Council","City Council","","","PO Box 645
NELSON 7015
","http://www.nelsoncitycouncil.co.nz","enquiry@ncc.govt.nz"
"North Shore City Council","City Council","","","Private Bag 93500
Takapuna
NORTH SHORE CITY 1332
","http://www.northshorecity.govt.nz/","actionline@northshorecity.govt.nz"
"Porirua City Council","City Council","","","PO Box 50218
PORIRUA CITY 5022
","http://www.pcc.govt.nz/","enquiries@pcc.govt.nz"
"Palmerston North City Council","City Council","","","Private Bag 11034
PALMERSTON NORTH 5320
","http://www.pncc.govt.nz","info@pncc.govt.nz"
"Upper Hutt City Council","City Council","","","Private Bag 907
UPPER HUTT 6420
","http://www.upperhuttcity.com","askus@uhcc.govt.nz"
"Waitakere City Council","City Council","","","Private Bag 93109
Henderson
WAITAKERE CITY 1231
","http://www.waitakere.govt.nz/","info@waitakere.govt.nz"
"Wellington City Council","City Council","","","PO Box 2199
WELLINGTON 6015
","http://www.Wellington.govt.nz/","info@wcc.govt.nz"
"Christchurch City Council","City Council","","CCC","PO Box 237
CHRISTCHURCH 8015
","http://www.ccc.govt.nz/","info@ccc.govt.nz"
"Dunedin City Council","City Council","","","PO Box 5045
DUNEDIN 9031
","http://www.dunedin.govt.nz/",""
"Hamilton City Council","City Council","","","Private Bag 3010
HAMILTON 2020
","http://www.hamilton.co.nz/","info@hcc.govt.nz"
"Tauranga City Council","City Council","","","Private Bag 12022
TAURANGA 3020
","http://www.tauranga.govt.nz/","info@tauranga.govt.nz"
"Central Otago District Council","District Council","","","PO Box 122
ALEXANDRA 9181
","http://www.codc.govt.nz","info@codc.govt.nz"
"Kaikoura District Council","District Council","","","PO Box 6
KAIKOURA 8280
","http://www.kaikoura.govt.nz","kdc@kaikoura.govt.nz"
"Horowhenua District Council","District Council","","","Private Bag 4002
LEVIN 5500
","http://www.horowhenua.govt.nz","enquiries@horowhenua.govt.nz"
"Hurunui District Council","District Council","","","PO Box 13
AMBERLEY 8251
","http://www.hurunui.govt.nz/","info@hurunui.govt.nz"
"Buller District Council","District Council","","","PO Box 21
WESTPORT
","http://www.bullerdc.govt.nz","info@bdc.govt.nz"
"Carterton District Council","District Council","","","PO Box 9
CARTERTON
","http://www.cartertondc.co.nz/",""
"Central Hawke's Bay District Council","District Council","","","PO Box 127
WAIPAWA 4170
","http://www.chbdc.govt.nz/","info@chbdc.govt.nz"
"Ashburton District Council","District Council","","","PO Box 94
ASHBURTON
","http://www.ashburtondc.govt.nz","info@ashburtondc.govt.nz"
"Kapiti Coast District Council","District Council","","","Private Bag 601
PARAPARAUMU 6450
","http://www.kapiticoast.govt.nz/","Kapiti.Council@kapiticoast.govt.nz"
"Franklin District Council","District Council","","","Private Bag 5
PUKEKOHE 1800
","http://www.franklindistrict.co.nz","FDC_Info@franklin.govt.nz"
"Hauraki District Council","District Council","","","PO Box 17
PAEROA 2951
","http://www.hauraki-dc.govt.nz","info@hauraki-dc.govt.nz"
"Kaipara District Council","District Council","","","Private Bag 1001
DARGAVILLE 0300
","http://www.kaipara.govt.nz/","council@kaipara.govt.nz"
"Kawerau District Council","District Council","","","Private Bag
KAWERAU 3169
","http://www.kaweraudc.govt.nz","kaweraudc@kaweraudc.govt.nz"
"Manawatu District Council","District Council","","","Private Bag 10001
FEILDING 5600
","http://www.mdc.govt.nz/","public@mdc.govt.nz"
"Marlborough District Council","District Council","","","PO Box 443
BLENHEIM 7240
","http://www.marlborough.govt.nz","mdc@marlborough.govt.nz"
"Masterton District Council","District Council","","","PO Box 444
MASTERTON 5915
","http://www.mstn.govt.nz","mdc@mstn.govt.nz"
"Matamata-Piako District Council","District Council","","","PO Box 266
TE AROHA 2971
","http://www.mpdc.govt.nz/","info@mpdc.govt.nz"
"New Plymouth District Council","District Council","","","Private Bag 2025
NEW PLYMOUTH 4340
","http://www.newplymouthnz.com","enquiries@npdc.govt.nz"
"Tararua District Council","District Council","","","PO Box 115
DANNEVIRKE 5491
","http://www.tararuadc.govt.nz","info@tararuadc.govt.nz"
"Opotiki District Council","District Council","","","PO Box 44
OPOTIKI 3092
","http://www.odc.govt.nz","info@odc.govt.nz"
"Otorohanga District Council","District Council","","","PO Box 11
OTOROHANGA 2564
","http://www.otodc.govt.nz","info@otodc.govt.nz"
"Rangitikei District Council","District Council","","","Private Bag 1102
MARTON 4741
","http://www.rangitikei.govt.nz","info@rangitikei.govt.nz"
"Ruapehu District Council","District Council","","","Private Bag 1001
TAUMARUNUI 3946
","http://www.ruapehudc.govt.nz","info@ruapehudc.govt.nz"
"Selwyn District Council","District Council","","","P O Box 90
ROLLESTON 7643
","http://www.selwyn.govt.nz/","admin@selwyn.govt.nz"
"Papakura District Council","District Council","","","Private Bag 7
PAPAKURA 2244
","http://www.papakura.govt.nz","CustomerServices@papakura.govt.nz"
"Queenstown-Lakes District Council","District Council","","","Private Bag 50072
QUEENSTOWN 9348
","http://www.qldc.govt.nz","services@qldc.govt.nz"
"Rodney District Council","District Council","","","Private Bag 500
OREWA 0946
","http://www.rodney.govt.nz","info@rodney.govt.nz"
"Rotorua District Council","District Council","","","Private Bag 3029
ROTORUA 3046
","http://www.rdc.govt.nz/","mail@rdc.govt.nz"
"South Taranaki District Council","District Council","","","Private Bag 902
HAWERA 4640
","http://www.stdc.co.nz/","contact@stdc.govt.nz"
"South Waikato District Council","District Council","","","Private Bag 7
TOKOROA 2392
","http://www.swktodc.govt.nz","info@swktodc.govt.nz"
"Southland District Council","District Council","","","PO Box 903
INVERCARGILL 9840
","http://www.southlanddc.govt.nz","emailsdc@southlanddc.govt.nz"
"Stratford District Council","District Council","","","PO Box 320
STRATFORD 4352
","http://www.stratford.govt.nz","stratforddc@stratford.govt.nz"
"South Wairarapa District Council","District Council","","","PO Box 6
MARTINBOROUGH 5741
","http://www.swdc.govt.nz/","enquiries@swdc.govt.nz"
"Tasman District Council","District Council","","","Private Bag 4
RICHMOND 7050
","http://www.tasman.govt.nz/","info@tdc.govt.nz"
"Taupo District Council","District Council","","","Private Bag 2005
TAUPO 3352
","http://www.taupo.govt.nz/","general@taupo.govt.nz"
"Thames-Coromandel District Council","District Council","","","Private Bag
THAMES 3540
","http://www.tcdc.govt.nz","customer.services@tcdc.govt.nz"
"Timaru District Council","District Council","","","PO Box 522
TIMARU 7910
","http://www.timaru.govt.nz","enquiry@timdc.govt.nz"
"Waikato District Council","District Council","","","Private Bag 544
NGARUAWAHIA 3742
","http://www.waikatodistrict.govt.nz","publicenquiries@waidc.govt.nz"
"Waimakariri District Council","District Council","","","Private Bag 1005
RANGIORA 7440
","http://www.waimakariri.govt.nz","office@wmk.govt.nz"
"Waimate District Council","District Council","","","PO Box 122
WAIMATE 7924
","http://www.waimatedc.govt.nz","council@waimatedc.govt.nz"
"Waipa District Council","District Council","","","Private Bag 2402
TE AWAMUTU 3840
","http://www.waipadc.govt.nz","info@waipadc.govt.nz"
"Wairoa District Council","District Council","","","PO Box 54
WAIROA 4108
","http://www.wairoadc.govt.nz/","administrator@wairoadc.govt.nz"
"Waitaki District Council","District Council","","","Private Bag 50058
OAMARU 9444
","http://www.waitaki.govt.nz","csunit@waitaki.govt.nz"
"Waitomo District Council","District Council","","","PO Box 404
TE KUITI 3941
","http://www.waitomo.govt.nz/","waitomodc@waitomo.govt.nz"
"Wanganui District Council","District Council","","","PO Box 637
WANGANUI 5015
","http://www.wanganui.govt.nz/","wdc@wanganui.govt.nz"
"Westland District Council","District Council","","","Private Bag 704
HOKITIKA 7842
","http://www.westlanddc.govt.nz","council@westlanddc.govt.nz"
"Whakatane District Council","District Council","","","Private Bag 1002
WHAKATANE 3158
","http://www.whakatane.govt.nz/","information@whakatane.govt.nz"
"Whangarei District Council","District Council","","","Private Bag 9023
WHANGAREI 0140
","http://www.wdc.govt.nz","mailroom@wdc.govt.nz"
"Gore District Council","District Council","","","PO Box 8
GORE 9740
","http://www.goredc.govt.nz","info@goredc.govt.nz"
"Grey District Council","District Council","","","PO Box 382
GREYMOUTH 7840
","http://www.greydc.govt.nz","info@greydc.govt.nz"
"Hastings District Council","District Council","","","Private Bag 9002
HASTINGS 4156
","http://www.hastingsdc.govt.nz/","council@hdc.govt.nz"
"Clutha District Council","District Council","","","PO Box 25
BALCLUTHA 9200
","http://www.cluthadc.govt.nz","help.desk@cluthadc.govt.nz"
"Gisborne District Council","District Council","","","PO Box 747
GISBORNE 4040
","http://www.gdc.govt.nz","gdc@gdc.govt.nz"
"MacKenzie District Council","District Council","","","PO Box 52
FAIRLIE 7949
","http://www.mackenzie.govt.nz","info@mackenzie.govt.nz"
"Far North District Council","District Council","","","Private Bag 752
KAIKOHE 0440
","http://www.fndc.govt.nz/","ask.us@fndc.govt.nz"
"Western Bay of Plenty District Council","District Council","","","Private Bag 12803
TAURANGA 3143
","http://www.wbopdc.govt.nz","customercare@wbopdc.govt.nz"
"Chatham Islands Council","Territorial Authority","","","PO Box 24
CHATHAM ISLANDS 8030
","http://www.cic.govt.nz","info@cic.govt.nz"
"Kordia Group Limited","State Owned Enterprise","","","PO Box 2495
AUCKLAND
","http://www.kordiasolutions.com/","emma.morrison@kordia.co.nz"
"Research and Education Advanced Network New Zealand Limited","Other PFA 4th Schedule organisation","","REANNZ","PO Box 3325
WELLINGTON 6140
","http://www.reannz.co.nz","info@reannz.co.nz"
"New Zealand Food Safety Authority","Public Service Department","","NZFSA","PO Box 3325
WELLINGTON 6140
","http://www.nzfsa.govt.nz","nzfsa.info@nzfsa.govt.nz"
"Hawke's Bay Regional Council","Regional Council","","","Private Bag 6006
NAPIER 4142
","http://www.hbrc.govt.nz","info@hbrc.govt.nz"
"AsureQuality Limited","State Owned Enterprise","","","Private Bag 6006
NAPIER 4142
","http://www.asurequality.com/",""
"New Zealand Transport Agency","Crown agent","","NZTA","Private Bag 6006
NAPIER 4142
","http://nzta.govt.nz","info@nzta.govt.nz"
"Real Estate Agents Authority","Crown agent","","","Private Bag 6006
NAPIER 4142
","",""
"New Zealand Walking Access Commission","Crown agent","Walking Access","","Private Bag 6006
NAPIER 4142
","http://www.walkingaccess.org.nz/","info@walkingaccess.org.nz"
"The New Zealand Institute for Plant and Food Research Limited","Crown Research Institute","Plant & Food Research","","Private Bag 6006
NAPIER 4142
","http://www.plantandfood.com/",""
